20181101 013600;0.936760;0.936810;0.936720;0.936770;0
20181101 013700;0.936790;0.936850;0.936770;0.936820;0
20181101 013800;0.936840;0.936900;0.936810;0.936850;0
20181101 013900;0.936860;0.936920;0.936840;0.936870;0
20181101 014000;0.936840;0.936860;0.936780;0.936820;0
20181101 014100;0.936810;0.936850;0.936750;0.936810;0
20181101 014200;0.936800;0.936830;0.936800;0.936820;0
20181101 014300;0.936830;0.936900;0.936740;0.936750;0
20181101 014400;0.936750;0.936790;0.936660;0.936750;0
20181101 014500;0.936740;0.936760;0.936560;0.936560;0
20181101 014600;0.936580;0.936580;0.936510;0.936530;0
20181101 014700;0.936520;0.936570;0.936500;0.936530;0
20181101 014800;0.936530;0.936570;0.936390;0.936410;0
20181101 014900;0.936420;0.936440;0.936390;0.936400;0
20181101 015000;0.936420;0.936430;0.936370;0.936370;0
20181101 015100;0.936360;0.936390;0.936250;0.936310;0
20181101 015200;0.936300;0.936430;0.936300;0.936420;0
20181101 015300;0.936430;0.936720;0.936430;0.936720;0
20181101 015400;0.936730;0.936730;0.936520;0.936560;0
20181101 015500;0.936570;0.936570;0.936430;0.936530;0
20181101 015600;0.936580;0.936640;0.936550;0.936550;0
20181101 015700;0.936560;0.936590;0.936540;0.936580;0
20181101 015800;0.936590;0.936600;0.936540;0.936560;0
20181101 015900;0.936560;0.936560;0.936470;0.936490;0
20181101 020000;0.936450;0.936520;0.936440;0.936510;0
20181101 020100;0.936520;0.936540;0.936460;0.936460;0
20181101 020200;0.936450;0.936460;0.936410;0.936410;0
20181101 020300;0.936430;0.936440;0.936350;0.936350;0
20181101 020400;0.936340;0.936410;0.936330;0.936340;0
20181101 020500;0.936350;0.936380;0.936260;0.936270;0
20181101 020600;0.936280;0.936330;0.936240;0.936320;0
20181101 020700;0.936320;0.936330;0.936270;0.936330;0
20181101 020800;0.936320;0.936360;0.936270;0.936360;0
20181101 020900;0.936350;0.936350;0.936270;0.936270;0
20181101 021000;0.936260;0.936260;0.936170;0.936200;0
20181101 021100;0.936200;0.936270;0.936200;0.936270;0
20181101 021200;0.936240;0.936280;0.936210;0.936210;0
20181101 021300;0.936200;0.936290;0.936200;0.936250;0
20181101 021400;0.936240;0.936350;0.936200;0.936340;0
